MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2023-11-11,Darmstadt,Mainz,0,0,0.99,0.0
2023-11-12,Leverkusen,Union Berlin,4,0,3.3,0.66
2023-11-12,Werder Bremen,Ein Frankfurt,2,2,1.65,0.99
2023-11-12,RB Leipzig,Freiburg,3,1,1.98,0.99
2023-11-24,FC Koln,Bayern Munich,0,1,0.66,1.65
2023-11-25,Dortmund,M'gladbach,4,2,4.29,0.99
2023-11-25,Freiburg,Darmstadt,1,1,0.99,0.33
2023-11-25,Union Berlin,Augsburg,1,1,1.98,0.66
2023-11-25,Werder Bremen,Leverkusen,0,3,0.33,1.32
2023-11-25,Wolfsburg,RB Leipzig,2,1,1.32,3.3
2023-11-25,Ein Frankfurt,Stuttgart,1,2,0.33,1.65
2023-11-26,Heidenheim,Bochum,0,0,0.99,0.66
2023-11-26,Hoffenheim,Mainz,1,1,1.98,1.98
2023-12-01,Darmstadt,FC Koln,0,1,0.33,1.98
2023-12-02,Bochum,Wolfsburg,3,1,2.97,1.98
2023-12-02,M'gladbach,Hoffenheim,2,1,0.99,1.65
2023-12-02,RB Leipzig,Heidenheim,2,1,2.64,0.33
2023-12-02,Stuttgart,Werder Bremen,2,0,1.98,0.99
2023-12-03,Mainz,Freiburg,0,1,1.98,1.65
2023-12-03,Leverkusen,Dortmund,1,1,1.98,0.66
2023-12-03,Augsburg,Ein Frankfurt,2,1,1.32,1.98
2023-12-08,Hoffenheim,Bochum,3,1,2.31,1.65
2023-12-09,Union Berlin,M'gladbach,3,1,1.98,1.32
2023-12-09,Heidenheim,Darmstadt,3,2,2.31,2.31
2023-12-09,Ein Frankfurt,Bayern Munich,5,1,1.98,1.98
2023-12-09,Werder Bremen,Augsburg,2,0,1.65,0.33
2023-12-09,Dortmund,RB Leipzig,2,3,1.98,2.64
2023-12-09,Wolfsburg,Freiburg,0,1,0.99,0.33
2023-12-10,Stuttgart,Leverkusen,1,1,3.96,1.98
2023-12-10,FC Koln,Mainz,0,0,0.99,1.65
2023-12-15,M'gladbach,Werder Bremen,2,2,1.32,1.65
2023-12-16,Augsburg,Dortmund,1,1,1.32,1.98
2023-12-16,Bochum,Union Berlin,3,0,2.31,0.66
2023-12-16,Darmstadt,Wolfsburg,0,1,1.32,0.99
2023-12-16,Mainz,Heidenheim,0,1,1.32,0.66
2023-12-16,RB Leipzig,Hoffenheim,3,1,3.63,1.32
2023-12-17,Leverkusen,Ein Frankfurt,3,0,1.98,0.66
2023-12-17,Bayern Munich,Stuttgart,3,0,2.64,0.66
2023-12-17,Freiburg,FC Koln,2,0,2.31,0.33
2023-12-19,Dortmund,Mainz,1,1,2.64,1.98
2023-12-19,Hoffenheim,Darmstadt,3,3,1.32,0.99
2023-12-19,Werder Bremen,RB Leipzig,1,1,0.99,2.97
2023-12-20,Union Berlin,FC Koln,2,0,2.64,2.31
2023-12-20,Ein Frankfurt,M'gladbach,2,1,2.31,0.66
2023-12-20,Heidenheim,Freiburg,3,2,0.99,1.32
2023-12-20,Leverkusen,Bochum,4,0,2.64,0.33
2023-12-20,Stuttgart,Augsburg,3,0,2.31,1.65
2023-12-20,Wolfsburg,Bayern Munich,1,2,1.32,2.31
2024-01-12,Bayern Munich,Hoffenheim,3,0,3.96,1.32
2024-01-13,Freiburg,Union Berlin,0,0,1.32,1.32
2024-01-13,Augsburg,Leverkusen,0,1,0.0,1.98
2024-01-13,FC Koln,Heidenheim,1,1,1.98,0.66
2024-01-13,Darmstadt,Dortmund,0,3,0.66,2.64
2024-01-13,Mainz,Wolfsburg,1,1,1.32,1.32
2024-01-13,RB Leipzig,Ein Frankfurt,0,1,2.31,0.33
2024-01-14,Bochum,Werder Bremen,1,1,1.32,1.32
2024-01-14,M'gladbach,Stuttgart,3,1,1.32,0.66
2024-01-20,Bochum,Stuttgart,1,0,0.33,1.32
2024-01-20,Darmstadt,Ein Frankfurt,2,2,0.99,1.32
